	Total	Total_filtered	Classif_1_cat_1	Classif_2_cat_A	Cat_1_Cat_A	Comparison	MF	conf
0	18118	357	135	258	127	SRR10759112-SRR10759114_and_SRR10759113-SRR10759115	2	0.95
1	19539	3134	186	1489	158	SRR10759114-SRR10759112_and_SRR10759115-SRR10759113	2	0.95
2	7618	178	119	159	113	SRR10759112-SRR10759114_and_SRR10759113-SRR10759115	3	0.99
3	10013	1866	91	1140	72	SRR10759114-SRR10759112_and_SRR10759115-SRR10759113	3	0.99
4	12274	262	130	222	124	SRR10759112-SRR10759114_and_SRR10759113-SRR10759115	4	0.95
5	14215	2559	101	1425	81	SRR10759114-SRR10759112_and_SRR10759115-SRR10759113	4	0.95
